trump,"['Trumpocalypse', 'hold', 'Christian', 'Trump']"
maga,"['rap', 'gaymen', 'hiphop', 'draintheswamp']"
resist,"['LOCKHIMUP', 'blacktwitter', 'impeachtrump', 'TheResistance']"
hold,"['HB2', 'SwAgGeR', 'trans', 'LGBT']"
Christian,"['christianmusic', 'radio', 'romance', '7News']"
Trump,"['SouthChinaSea', 'megagahubert']"
rap,"['MDMGRadioNews', 'hihop', 'REGGAE', 'SOUL']"
