0,"['trump', 'maga', 'buildthewall', 'resist', 'muslimban']","['opresistance', 'neverhillaryorwarren', 'imwithhim', 'mexicanrapist', 'hanson']"
1,"['opresistance', 'neverhillaryorwarren', 'imwithhim', 'mexicanrapist', 'hanson']","['pleezaxplane', 'vscocam', 'whengodshines', 'hisgloryglistens', 'aerosmith']"
2,"['pleezaxplane', 'vscocam', 'whengodshines', 'hisgloryglistens', 'aerosmith']","['warmer', 'pointe', 'vschappy', 'baja', 'eyes']"
3,"['warmer', 'pointe', 'vschappy', 'baja', 'eyes']","['opt', 'latentacion', 'clams', 'waxc', '150gang']"
